period,industry_index,industry_id,industry_name,comparability,person_month_count,weighted_worker_population,kish_weight_dispersion_effective_n,minimum_monthly_person_count,minimum_monthly_kish_weight_dispersion_effective_n,maximum_pairwise_month_l1,maximum_monthly_l1_to_quarter,maximum_leave_one_month_out_l1_to_quarter,quarter_top_occupation,all_monthly_tops_match_quarter
2025-Q2,11,real-estate-and-rental-and-leasing,Real Estate and Rental and Leasing,primary,2167,2809362.6105666663,1703.2370828801252,698,553.2128141851105,0.12030030536240312,0.06957310342985058,0.034034610756362486,sales-and-related-occupations,True
2025-Q2,12,professional-scientific-and-technical-services,"Professional, Scientific, and Technical Services",primary,10341,13240287.2052,7921.104340274328,3389,2604.4947149167997,0.06491549486053776,0.03900459376889323,0.019651802981286107,computer-and-mathematical-occupations,True
2025-Q2,13,management-of-companies-and-enterprises,Management of Companies and Enterprises,primary,145,195891.94566666667,118.37416044914764,45,35.7834426102867,0.46197544733513746,0.28070871325885954,0.12892317338798942,management-occupations,True
2025-Q2,14,administrative-and-support-and-waste-management-services,Administrative and Support and Waste Management Services,primary,5213,6836770.776099999,4039.0236969499038,1716,1327.5069283613782,0.0850376410572513,0.046087138522966954,0.02195926223516668,building-and-grounds-cleaning-and-maintenance-occupations,True
2025-Q2,15,educational-services,Educational Services,primary,11428,13404388.087933332,8527.288699600054,3536,2640.1633866184484,0.055918860648774764,0.03663272611606034,0.01663581396667788,educational-instruction-and-library-occupations,True
2025-Q2,16,health-care-and-social-assistance,Health Care and Social Assistance,primary,17653,21922552.889166664,13319.232540822833,5862,4411.601706095836,0.045525960435630744,0.024635542529298452,0.012354133052320656,healthcare-practitioners-and-technical-occupations,True
2025-Q2,17,arts-entertainment-and-recreation,"Arts, Entertainment, and Recreation",primary,2431,3070276.7860333333,1866.4929001685805,792,606.7660984026302,0.12553163142087656,0.07629710091182804,0.03551884505102709,arts-design-entertainment-sports-and-media-occupations,True
2025-Q2,18,accommodation-and-food-services,Accommodation and Food Services,primary,7328,9518808.973166667,5572.452629493882,2425,1840.2098733969858,0.07607115657735757,0.042408974018462955,0.021519166778860885,food-preparation-and-serving-related-occupations,True
2025-Q2,19,other-services-except-public-administration,"Other Services, Except Public Administration",limited,5699,7145266.110633333,4330.714599603079,1881,1433.3416659475442,0.08870769366220448,0.04942600049900044,0.02355365577203949,personal-care-and-service-occupations,True
2025-Q2,20,public-administration,Public Administration,excluded,6519,7249221.223499999,4535.218877841365,2141,1487.4926753590137,0.13603591666671863,0.07231329221084001,0.03608590902847846,protective-service-occupations,True
2026-Q2,1,agriculture-forestry-fishing-and-hunting,"Agriculture, Forestry, Fishing, and Hunting",excluded,1806,1846178.9967,1232.3506637929884,592,404.7949831201471,0.15923644467814224,0.09338557604333371,0.04417917349422832,farming-fishing-and-forestry-occupations,True
2026-Q2,2,mining-quarrying-and-oil-and-gas-extraction,"Mining, Quarrying, and Oil and Gas Extraction",primary,726,549624.0493,374.18687580091887,236,117.06770776922305,0.3138446214276028,0.20418601359703137,0.09624552461216886,construction-and-extraction-occupations,True
2026-Q2,3,construction,Construction,primary,8934,11150336.8709,6445.8655197280905,2903,2118.34264564633,0.04994882447786074,0.02863988554361034,0.01463355803091431,construction-and-extraction-occupations,True
2026-Q2,4,manufacturing,Manufacturing,primary,10698,13898940.905833332,8172.542703798986,3507,2666.3844139501925,0.04619508056022144,0.0265335331921616,0.0133234934116988,production-occupations,True
2026-Q2,5,wholesale-trade,Wholesale Trade,primary,2223,2697919.459,1610.3945968363273,725,520.6689780410445,0.15843795886359427,0.09237339526415993,0.045126124955857876,sales-and-related-occupations,True
2026-Q2,6,retail-trade,Retail Trade,primary,11587,14987625.663933333,8294.194086227115,3839,2743.3973374407065,0.05422197447703861,0.029965942002758476,0.01480325263386973,sales-and-related-occupations,True
2026-Q2,7,transportation-and-warehousing,Transportation and Warehousing,primary,6079,8305536.225333333,4336.674078999504,1991,1405.3998806136938,0.06759023496666207,0.040579193138441494,0.019717324644963126,transportation-and-material-moving-occupations,True
2026-Q2,8,utilities,Utilities,primary,1250,1511660.6927666666,907.6522804912561,408,294.0801323524101,0.2268440449724102,0.1340093060055236,0.07349444291533794,management-occupations,True
2026-Q2,9,information,Information,primary,2026,2699678.7876,1481.2452058158556,643,475.9450646581069,0.13496927377527546,0.08769646897169055,0.0412963732922908,arts-design-entertainment-sports-and-media-occupations,True
2026-Q2,10,finance-and-insurance,Finance and Insurance,primary,5665,7486321.9743,4241.852454502261,1866,1381.410662334845,0.09164452602174879,0.05374289520440019,0.025960041129277755,business-and-financial-operations-occupations,True
2026-Q2,11,real-estate-and-rental-and-leasing,Real Estate and Rental and Leasing,primary,2203,2849707.5842666663,1653.2000172793462,711,524.9471010175333,0.11161654067660597,0.07077884642652413,0.0356470136491595,sales-and-related-occupations,True
2026-Q2,12,professional-scientific-and-technical-services,"Professional, Scientific, and Technical Services",primary,10323,13494513.223499998,7743.05745494127,3380,2499.8734445892383,0.06426470583492395,0.03701948592440246,0.018752448235024123,computer-and-mathematical-occupations,True
2026-Q2,13,management-of-companies-and-enterprises,Management of Companies and Enterprises,primary,81,99904.19506666667,60.39158432205465,22,15.914906540594663,0.4690574043432125,0.3104541015042085,0.14218063065667338,management-occupations,False
2026-Q2,14,administrative-and-support-and-waste-management-services,Administrative and Support and Waste Management Services,primary,5159,6845115.326166666,3768.1362519591135,1684,1226.5965157747203,0.09115865124595454,0.05724532524604376,0.029770097739432337,building-and-grounds-cleaning-and-maintenance-occupations,True
2026-Q2,15,educational-services,Educational Services,primary,10731,13000449.431799999,7697.186252822272,3402,2430.7734360879526,0.058732635255309903,0.03575935694994698,0.017091424965664362,educational-instruction-and-library-occupations,True
2026-Q2,16,health-care-and-social-assistance,Health Care and Social Assistance,primary,16985,21619329.2709,12106.131661471998,5511,3921.222437411516,0.0630912918948107,0.03449310642571256,0.017662850260485294,healthcare-practitioners-and-technical-occupations,True
2026-Q2,17,arts-entertainment-and-recreation,"Arts, Entertainment, and Recreation",primary,2234,2897192.3891999996,1594.4581009893805,699,502.41380751203684,0.15019920015013863,0.07883186078734442,0.042538162570763385,personal-care-and-service-occupations,False
2026-Q2,18,accommodation-and-food-services,Accommodation and Food Services,primary,7061,9523033.359733332,5033.126059806951,2313,1632.0794691543013,0.07618771999738068,0.04713140777224922,0.02291969843872312,food-preparation-and-serving-related-occupations,True
2026-Q2,19,other-services-except-public-administration,"Other Services, Except Public Administration",limited,5519,6958514.413566667,3846.644334927734,1786,1252.3974108999814,0.09709371045686993,0.055729035496657586,0.02783262205431299,personal-care-and-service-occupations,True
2026-Q2,20,public-administration,Public Administration,excluded,6397,7184356.318566666,4205.187372215435,2120,1380.07283930508,0.08268986890762826,0.04656091005453787,0.023510050483642422,protective-service-occupations,True
