period,industry_index,industry_id,industry_name,coverage,point_identified,missing_occupation_count,residual_unpublished_mass_share,observed_industry_adoption,predicted_adoption_lower,predicted_adoption_upper,residual_lower,residual_upper,residual_sign_identification
2026-Q2,7,transportation-and-warehousing,Transportation and Warehousing,0.9999946298921683,True,0,0.0,25.1041845591,33.8106458966637,33.8106458966637,-8.706461337563702,-8.706461337563702,negative
2026-Q2,8,utilities,Utilities,0.9997658862876254,False,5,0.00023411371237458194,56.4271540336,43.907111130473574,43.91542990927226,12.511724124327735,12.520042903126424,positive
2026-Q2,9,information,Information,0.9999965273195769,True,1,3.4726804231113828e-06,82.1926036484,56.99174636740601,56.99174636740601,25.200857280993986,25.200857280993986,positive
2026-Q2,10,finance-and-insurance,Finance and Insurance,1.0,True,0,0.0,67.33240401,53.319408423693034,53.319408423693034,14.012995586306971,14.012995586306971,positive
2026-Q2,11,real-estate-and-rental-and-leasing,Real Estate and Rental and Leasing,0.998023023538376,False,2,0.001976976461624004,56.4928358382,44.553646725907335,44.58069081163767,11.912145026562328,11.939189112292667,positive
2026-Q2,12,professional-scientific-and-technical-services,"Professional, Scientific, and Technical Services",1.0,True,0,0.0,69.5429443332,56.517693239396046,56.517693239396046,13.025251093803952,13.025251093803952,positive
2026-Q2,13,management-of-companies-and-enterprises,Management of Companies and Enterprises,0.9999964640946492,True,0,0.0,64.4594343994,56.93619120582285,56.93619120582285,7.523243193577144,7.523243193577144,positive
2026-Q2,14,administrative-and-support-and-waste-management-services,Administrative and Support and Waste Management Services,0.9980854367014653,True,1,0.0019145632985347282,40.4601157323,35.51768392404704,35.51768392404704,4.942431808252955,4.942431808252955,positive
2026-Q2,15,educational-services,Educational Services,0.9999992780851932,True,0,0.0,52.5851862896,51.57293105238738,51.57293105238738,1.0122552372126208,1.0122552372126208,positive
2026-Q2,16,health-care-and-social-assistance,Health Care and Social Assistance,1.0,True,0,0.0,37.1653034619,38.71627115471758,38.71627115471758,-1.5509676928175793,-1.5509676928175793,negative
2026-Q2,17,arts-entertainment-and-recreation,"Arts, Entertainment, and Recreation",1.0,True,0,0.0,31.9992080832,34.57360887345077,34.57360887345077,-2.574400790250774,-2.574400790250774,negative
2026-Q2,18,accommodation-and-food-services,Accommodation and Food Services,0.9999768852366007,True,1,2.3114763399383187e-05,30.52520052,31.36911719731879,31.36911719731879,-0.8439166773187914,-0.8439166773187914,negative
